Title,Category,Url,Image,Author,Description,Date,Page,label
program happi anniversari bank papua,Hoaks,https://www.kominfo.go.id/content/detail/57170/hoaks-program-happy-anniversary-58-tahun-bank-papua/0/laporan_isu_hoaks,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-program-happy-anniversary-58-tahun-bank-papua.jpg,adhi004,beredar kabar media sosial facebook narasi mengeklaim bank papua mengadakan program undian berhadiah rangka merayakan ulang bank papua faktanya klaim dikutip turnbackhoaxid unggahan mengatasnamakan bank papua salah modu penipuan onlin bank papua peringatan nasabah berhatihati penipuan mengatasnamakan bank papua,06-2024,2,0
merokok mencegah parkinson jantung asma tbc obesita,Hoaks,https://www.kominfo.go.id/content/detail/57169/hoaks-merokok-mencegah-parkinson-jantung-asma-tbc-dan-obesitas/0/laporan_isu_hoaks,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-program-happy-anniversary-58-tahun-bank-papua.jpg,adhi004,beredar unggahan media sosial mengeklaim merokok memiliki manfaat mengurangi resiko penyakit parkinson cepat sembuh penyakit jantung mencegah asma alergi membunuh kuman penyebab tbc menekan resiko obesita faktanya klaim menyebut merokok memiliki manfaat dilansir turnbackhoaxid penelitian merokok terbukti mengakibatkan penyakit jantung koron asap rokok menurunkan sistem kekebalan tubuh mudah terinfeksi bakteri mycobacterium tuberculosi penyebab tbc asap rokok memicu asma merokok memiliki hubungan obesita,06-2024,2,0
undian livin by mandiri period apriljuni,Hoaks,https://www.kominfo.go.id/content/detail/57157/hoaks-undian-livin-by-mandiri-periode-april-juni-2024/0/laporan_isu_hoaks,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-merokok-mencegah-parkinson-jantung-asma-tbc-dan-obesitas.jpg,Viska,beredar unggahan media sosial facebook informasi undian berhadiah livin by mandiri period apriljuni unggahan menyertakan tautan mendaftar undian faktanya informasi terkait undian berhadiah livin by mandiri period apriljuni dikutip turnbackhoaxid tautan situ tertera unggahan situ resmi milik bank mandiri informasi situ resmi bank mandiri wwwbankmandiricoid media sosial resmi bank mandiri bank mandiri situ resminya mengimbau nasabah berhatihati informasi resmi mengatasnamakan bank mandiri,06-2024,2,0
program bantuan usaha mikro baitul mal aceh,Hoaks,https://www.kominfo.go.id/content/detail/57156/hoaks-program-bantuan-usaha-mikro-dari-baitul-mal-aceh/0/laporan_isu_hoaks,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-undian-livin-mandiri-periode-april-juni-2024.jpg,Viska,beredar unggahan menyebut baitul mal aceh bma menggelar program bantuan modal usaha ultra unggahannya syarat dilengkapi dipersiapkan calon penerima bantuan faktanya informasi baitul mal aceh bma menggelar program bantuan modal usaha ultra dilansir detikcom ketua badan bma mohammad haikal informasi haikal menyebut baitul mal aceh kutipan apapun mustahik biaya administrasi prose seleksi baitul mal dana bma masyarakat mewaspadai oknum mengatasnamakan bma menyebarkan informasi bohong terkait program bantuan badan amil,06-2024,2,0
kedatangan transmigran pulau jawa provinsi aceh,Hoaks,https://www.kominfo.go.id/content/detail/57155/hoaks-kedatangan-transmigran-dari-pulau-jawa-ke-provinsi-aceh/0/laporan_isu_hoaks,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-bantuan-usaha-mikro-baitul-mal-aceh.jpg,Viska,beredar unggahan media sosial facebook mengeklaim kedatangan transmigran pulau jawa provinsi aceh provinsi aceh diklaim daerah termiskin indonesia program transmigrasi narasi disertai tangkapan layar artikel berita faktanya dilansir kompascom klaim kedatangan transmigran pulau jawa provinsi aceh tangkapan layar artikel konten berita dirili harianrakyatacehcom desemb klaim provinsi aceh provinsi termiskin indonesia sesuai data profil kemiskinan indonesia dihimpun badan pusat statistik bp maret,06-2024,2,0
kpk bongkar dana tapera digelapkan ikn,Hoaks,https://www.kominfo.go.id/content/detail/57154/hoaks-kpk-bongkar-dana-tapera-digelapkan-untuk-ikn/0/laporan_isu_hoaks,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-KPK-bongkar-dana-tapera-digelapkan-untuk-ikn.jpg,Viska,beredar unggahan video platform youtub mengeklaim komisi pemberantasan korupsi kpk kejaksaan agung kejagung menggeledah kantor presiden joko widodo jokowi menemukan bukti dana tabungan perumahan rakyat tapera pembangunan kota nusantara ikn faktanya klaim unggahan video dilansir turnbackhoaxid video narat triliun dana tapera penggunaannya disebutsebut pembangunan ikn video menampilkan cuplikan video tokoh politik mengomentari pemberlakuan potongan tapera video narat membaha ulang artikel berita muriatribunnewscom membaha laporan badan pemeriksa keuangan bpk dana tapera senilai rp miliar dikembalikan peserta aktif kepesertaannya video ditemukan informasi kredibel membuktikan kebenaran klaim video beredar,06-2024,3,0
akun whatsapp mengatasnamakan sekretari jender kementerian kesehatan,Hoaks,https://www.kominfo.go.id/content/detail/57124/hoaks-akun-whatsapp-mengatasnamakan-sekretaris-jenderal-kementerian-kesehatan/0/laporan_isu_hoaks,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-KPK-bongkar-dana-tapera-digelapkan-untuk-ikn.jpg,adhi004,beredar akun whatsapp mengatasnamakan sekretari jender sekjen kementerian kesehatan kemenk kunta wibawa dasa nugraha akun nomor faktanya akun whatsapp beredar akun palsu modu penipuan dilansir sehatnegerikukemkesgoid nomor modu penipuan menyalahgunakan identita sekjen kemenk juru bicara kemenk dr m syahril akun whatsapp oknum bertanggung masyarakat diimbau berhatihati menemukan mengonfirmasi kebenarannya nomor hotlin sm email kontakkemkesgoid,06-2024,3,0
bareksa gebyar reward jalankan tuga komisi merchant bareksa grup whatsapp,Hoaks,https://www.kominfo.go.id/content/detail/57123/hoaks-bareksa-gebyar-rewards-jalankan-tugas-mendapatkan-komisi-dari-merchant-bareksa-di-grup-whatsapp/0/laporan_isu_hoaks,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-akun-whatsapp-mengatasnamakan-sekretaris-jenderal-kementerian-kesehatan.jpg,adhi004,beredar grup whatsapp nama bareksa gebyar reward memiliki anggota info narasi grup bertuliskan cari cuan ribet x cari cuan gampang y gini ngapain nyari cuan ribetribet event bareksa plu udah solusi cari cuan gampang yuk buruan gabung bareksa investasi faktanya klaim postingan dilansir turnbackhoaxid market manag bareksa deni faedhurrahman instagram resmi bareksa menyebut informasi modu penipuan mengimbau masyarakat berhatihati mengikuti serangkaian tuga imingim hadiah mengimbau masyarakat alamat email nomor pribadi kode otp dana reken pribadi oknum transaksi investasi aplikasi bareksa laman resmi bareksa wwwbareksacom grup komunita bareksa diaks aplikasi bareksa,06-2024,3,0
menteri pupr basuki hadimuljono mundur kabinet,Hoaks,https://www.kominfo.go.id/content/detail/57122/hoaks-menteri-pupr-basuki-hadimuljono-mundur-dari-kabinet/0/laporan_isu_hoaks,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-bareksa-gebyar-rewards-jalankan-tugas-mendapatkan-komisi-dari-merchant-bareksa-di-grup-whatsapp.jpg,adhi004,beredar unggahan video media sosial youtub mengeklaim menteri pekerjaan perumahan rakyat pupr basuki hadimuljono mengundurkan kabinet dicecar dewan perwakilan rakyat republik indonesia dpr ri terkait tapera pembangunan kota nusantara ikn faktanya klaim menyebut menteri pupr basuki hadimuljono mengundurkan kabinet dilansir antaranewscom isi video unggahan narasi judul video pernyataan menteri pupr mundur kabinet video potongan live sidang dpr ri videonya diaks youtub dpr ri berjudul break news komisi v dpr ri raker menteri pupr ri juni deskripsi komisi v dpr ri rapat kerja menteri pupr terkait evaluasi apbn pelaksanaan anggaran mei pembicaraan pendahuluan rka kl rencana kerja pemerintah rkp anggaran lainlain,06-2024,3,0
razia kendaraan mati pajak,Hoaks,https://www.kominfo.go.id/content/detail/57121/hoaks-razia-kendaraan-yang-mati-pajak/0/laporan_isu_hoaks,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-menteri-pupr-basuki-hadimuljono-mundur-dari-kabinet.jpg,adhi004,beredar pesan berantai whatsapp menginformasikan digelar razia kendaraan mati pajak kendaraan telat membayar pajak kendaraan langsung ditahan pesan menyertakan jadwal razia faktanya informasi dilansir turmbackhoaxid informasi ditemukan berulang kali muncul tahunnya banjarmasintribunnewscom kapolr hulu sungai akbp jimmi kurniawan kasi huma iptu akhmad priasi dikonfirmasi kami informasi tersebar media sosial mengimbau masyarakat waspada berita bijak membaca membagikan berita kebenarannya informasi terkait operasi diumumkan portal berita resmi terverifikasi mediamedia sosial polr,06-2024,3,0
