Title,Category,Url,Image,Author,Description,Date,Page,label
gelar penertiban nasion komitmen kominfo awasi penggunaan sfr,Berita Kominfo,https://www.kominfo.go.id/content/detail/56857/gelar-penertiban-nasional-komitmen-kominfo-awasi-penggunaan-sfr/0/berita_satker,https://web.kominfo.go.id/sites/default/files/balmpn%20jakarta%20sdppi%20penertiban%20nasional%2020240531132455-IWN06830.jpeg,Irso,jakarta pusat kominfo kementerian komunikasi informatika menyelenggarakan penertiban nasion tahap i serentak wilayah indonesia mengusung tema tertib penggunaan frekuensi radio kepala balai monitor spektrum frekuensi radio kela i jakarta direktorat jender sumber daya perangkat po informatika kementerian kominfo rachman baharuddin penertiban direktorat jender sdppi foku penertiban perangkat microwavelink dimiliki oper selul data dimiliki salah penghasilan utama isr beras microwavelink dimiliki oper selul seringkali dilapangan microwavelink dijadikan foku penertiban kali jakarta pusat rabu rachman baharuddin penertiban ditemukan pelanggaran lapangan tim balai monitor tindakan sesuai sop pengamanan perangkat teguran sanksi administrasi denda sesuai pelanggaran kabalmon sfr kela i jakarta spektrum frekuensi radio sumber daya terbata diatur semaksim izin interverensi tujuan utama dilakukannya penertiban penggunaan sesuai izinnya tertib penggunaannya spektrum frekuensi radio perangkat tersertifikasi rachman baharuddin salah tolok ukur keberhasilan penertiban pengguna spektrum frekuensi radio memenuhi persyaratan interferensi elemen sesuai halhal merugikan kendala lapangan harap terwujud penertiban nasion program kerja ditjen sdppi kementerian kominfo kali direncakan kali penertiban penertiban tahap i tanggal sd mei serentak wilayah kerja unit pelaksana tekni upt direktorat jender sdppi kementerian kominfo,05-2024,2,1
nik ktp jakarta nonaktif permanen juni,Berita Kominfo,https://www.kominfo.go.id/content/detail/56830/awas-hoaks-nik-ktp-jakarta-nonaktif-permanen-1-juni-2024/0/berita_satker,https://web.kominfo.go.id/sites/default/files/balmpn%20jakarta%20sdppi%20penertiban%20nasional%2020240531132455-IWN06830.jpeg,srii003,jakarta pusat kominfo beredar tangkapan layar pesan whatsapp berisi informasi nomor induk kependudukan nik kartu tanda penduduk ktp daerah khusu jakarta dinonaktifkan permanen tanggal juni penonaktifan terdaftar penataan penertiban dokumen kependudukan sesuai domisili hasil penelusuran tim ai kementerian komunikasi informatika menemukan fakta informasi nonaktif nik ktp dkj tanggal juni dina kependudukan pencatatan sipil disdukcapil provinsi dk jakarta akun instagram resmi dukcapiljakarta mengklarifikasi disdukcapil dk jakarta mengusulkan penonaktifan nik kementerian negeri kategori meningg rtrw nik masuk data warga aktif usulan dinonaktifkan warga masuk usulan penonaktifan menguru perpindahan melapor kelurahan hasil verifikasi lapangan menguatkan diajukan penonaktifan laporan harian isu disinformasi didentifikasi tim ai kementerian kominfo selasa,05-2024,2,1
video layanan detoksifikasi vaksin covid,Berita Kominfo,https://www.kominfo.go.id/content/detail/56804/awas-hoaks-video-layanan-detoksifikasi-vaksin-covid-19/0/berita_satker,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-nik-ktp-jakarta-akan-dinonaktifkan-permanen-pada-1-juni-2024_0_0.jpg,doni003,jakarta pusat kominfo beredar konten unggahan video media sosial facebook berisi klaim mengeluarkan detoksifikasi vaksin covid masuk tubuh konon unggahan video menampilkan artikel mengula efek samp vaksin covid merek informasi team detok vaksin imunisasi tersebar kota indonesia hasil penelusuran tim ai kementerian komunikasi informatika menemukan fakta klaim unggahan video dilansir cekfaktatempoco epidemiolog penel indonesia universita griffith australia dicki budiman istilah medi nasion internasion detoksifikasi vaksin layanan detoksifikasi vaksin covid cenderung tindakantindakan berbahaya berendam air larutan pemutih ahli medi berendam mandi mengiritasi kulit mata menghilangkan efek vaksin covid laporan harian isu disinformasi misinformasi diidentifikasi tim ai kementerian kominfo senin,05-2024,2,1
berita foto kominfo korsel sepakati mra kerja sektor tik,Berita Kominfo,https://www.kominfo.go.id/content/detail/56796/berita-foto-kominfo-korsel-sepakati-mra-kerja-sama-sektor-tik/0/berita_satker,https://web.kominfo.go.id/sites/default/files/kominfo-cekhoaks-hoaks-disinformasi-misinformasi-video-layanan-detoksifikasi-vaksin-covid_0.jpg,PeyHS,jakarta pusat kominfo kementerian komunikasi informatika republik indonesia kementerian sain teknolog informasi komunikasi korea selatan menyepakati mutual recognit agreement mra kerja sektor teknolog informasi komunikasi wamenkomifo nezar patria wakil menteri sain teknolog informasi komunikasi korea selatan do hyun kang menandatangani naskah mra jakarta pusat senin pemerintah indonesia korea selatan proyek kerja terkait strategi pengembangan digit id strategi digitalisasi pengentasan kemiskinan penguatan kemitraan strategi korea indonesia pembangunan kementerian kominfo membuka peluang kerja pengembangan teknolog terbaru asean korea selatan dibaha st asean digit minist meet adgmin jakarta pusat,05-2024,2,1
jakarta kota,Berita Kominfo,https://www.kominfo.go.id/content/detail/56783/jakarta-tidak-lagi-menjadi-ibu-kota-mulai-2024-itu-hoaks/0/berita_satker,https://web.kominfo.go.id/sites/default/files/kominfo-wamen-nezar-patria-MRA-TIK-Ina-Korsel-PeyHS-5.jpeg,srii003,jakarta pusat kominfo beredar konten unggahan video media sosial tiktok mengklaim jakarta ibukota negara indonesia faktanya klaim unggahan hasil penelusuran tim ai kementerian komunikasi informatika menemukan fakta kompascom daerah khusu kota jakarta dki jakarta kota keputusan presiden keppr pemindahan ibukota negara nusantara staf khusu presiden bidang hukum purwono keppr sepenuhnya kewenangan presiden laporan harian isu disinformasi didentifikasi tim ai kementerian kominfo minggu,05-2024,2,1
asr kpi program siaran alami peningkatan,Berita Kominfo,https://www.kominfo.go.id/content/detail/56405/asr-2024-kpi-jumlah-program-siaran-alami-peningkatan/0/berita_satker,https://web.kominfo.go.id/sites/default/files/Konpres-1%20KPI%20Anugerah%20ranadan.jpeg,Yusuf,jakarta pusat kominfo komisi penyiaran indonesia kpi maje ulama indonesia mui kementerian agama kemenag menggelar anugerah syiar ramadan asr agenda tahunan ajang apresiasi motivasi karya terbaik insan penyiaran menyajikan program siaran khusu ramadan penyelenggaraan anugerah khusu ramadan memasuki kali tema asr merajut persatuan siaran ramadan menyejukkan ketua kpi pusat ubaidillah tema upaya memperkokoh nilai persatuan bangsa programprogram siaran ramadan ramadan penuh kesejukan karunia rahmat berbeda pikiran pandangan berpolemik perhelatan pesta demokrasi kemarin dihadapkan langsung keindahan ramadan menyejukkan menentramkan ramadan ruang rekonsiliasi pemulihan pelan terwujud konfensi per jakarta pusat rabu anugerah salah bentuk pemantik lembaga penyiaran berkreasi menciptakan siaran mendidik berkualita selara spirit ramadan mengapresiasi komitmen konsistensi lembaga penyiaran menyajikan programprogram siaran ramadan terbaiknya berharap siaransiaran terbaik dipertahankan ramadan bulanbulan semoga mendorong transformasi positif masyarakat ketua kpi pusat anggota kpi pusat pic kegiatan asr aliyah lonjakan program siaran terlibat asr program siaran program program siaran didaftarkan program animonya asr peningkatan program program siaran beras lembaga penyiaran televisi radio televisi menyerahkan program siaran radio program siaran kendati program siaran tv diperlombakan program siaran lolo tahap penjurian program siaran radio didaftarkan program siaran lolo prose aliyah kriteria penilaian terapkan asr meliputi memenuhi pedoman perilaku penyiaran standar program siaran p sp kpi tayang ramadan ketiga selara semangat ramadan keempat sanksi kpi program siaran diperlombakan produksi sekurangkurangnya repacag program tayang sematamata program rerun tim asistensi menemukan program memenuhi kriteria diwajibkan otomati gugur lolo tahap penjurian ketat prose program lolo tahap penjurian programprogram siaran ramadan terbaik cela tahap penilaian penjurian tim dewan juri unsur komisi i dpr ri komision kpi pusat pimpinan mui kementerian agama ri kementerian pemuda olahraga ri organisasi kemasyarakatan keagamaan jurijuri memiliki kompetensi dipercaya penilaian obyektif independen programprogram siaran pemenang program terbaik terbaik aliyah asr kategori program siaran diperlombakan kategori televisi kategori dakwah non talkshow ceramah kategori dakwah talkshow kultum kategori dakwah talkshow dialog kategori wisata budaya kategori animasi indonesia kategori animasi ase kategori sinetron kategori ajang bakat kategori filmftv religi kategori featur kategori dokument kategori liputan ramadan kategori varietyrealti show kategori ilm ramadan kategori program diperlombakan radio kategori dakwah kultum kategori dakwah talkshowdialog kategori liputan ramadan kategori wisata budaya kategori featur kategori ilm ramadan ditambah kategori lomba kementerian agama kategori dai wilayah t inspiratif tertingg terluar terdepan ringka perjalanan penyelenggaran anugerah khusu siaran ramadan an kegiatan asr diselenggarakan mui kegiatan anugerah ditiadakan kpi pusat mui menyelenggarakan kegiatan anugerah pandemi covid asr digelar hybrid offlin onlin asr diselenggarakan ofllin penyelenggaraan anugerah melibatkan kementerian pemuda olahraga kemenpora dukung kemenpora tambahan penghargaan kategori bidang kepemudaan kementerian agama mendukung bergabung penyelenggaraan asr,05-2024,3,1
gelar puncak hut dekrana dukungan media,Berita Kominfo,https://www.kominfo.go.id/content/detail/56400/gelar-puncak-hut-ke-44-dekranas-minta-dukungan-media/0/berita_satker,https://web.kominfo.go.id/sites/default/files/Konpres-1%20KPI%20Anugerah%20ranadan.jpeg,Erbi,jakarta pusat kominfo dewan kerajinan nasion dekrana menggelar puncak perayaan ulang surakarta jawa tanggal sd mei ketua bidang hubungan masyarakat dekrana dina budi ari setiadi mendorong pekerja media mendukung pelaksanaan acara puncak peringatan mempromosikan pelaku usaha mikro menengah aksi dekrana diken masyarakat lua dukungan temanteman media membantu menyuarakan event mengekspos umkm maju dekrana konferensi per hut dekrana kantor kementerian kominfo jakarta pusat rabu dina ari setiadi huma dekrana sosialisasi beragam media berkaitan gelaran akbar bidang huma mencoba mempromosikan event media baliho kanal media miliki websit dekrana instagram khusu dekrana berupaya mengenalkan aktivita generasi mileni generasi z dina budi ari huma dekrana khusu memanfaatkan media sosial tiktok promosi anakanak muda genz mileni tiktok mencoba mengangkat event dekrana kali tiktok promosi platform tiktok dina budi ari setiadi mengaku respon positif masyarakat generasi mileni generasi z lumayan lumayan responsnya diaks jutaan viewer kirab pameran ketua panitia pelaksana hut dekrana loemongga agu gumiwang persiapan acara hut dekrana mencapai persen khusu panitia apresiasi duungan persen persiapannya terimakasih temanteman pemprov jawa pemerintah kota solo sungguh konsentrasi penuh event suks loemongga agu gumiwang acara puncak peringatan hut dekrana terbuka dimeriahkan beragam acara kirab budaya pameran umkm expo pamedan pura mangku negara pelaku umkm dekranasda provinsi berpartisipasi pawai budaya diadakan tanggal mei sore mobil hia masingmas dekranasda kabupaten kota provinsi berpartisipasi ketua panitia pelaksana hut dekrana mengharapkan perwakilan provinsi hadir matang acara momentum membangun jaringan partisipan dekrana provinsi daerah indonesia bertemu rekanrekan dekrana indonesia network sinergi mempertahankan aneka kriya miliki semoga ajang membantu menumbuhkan semangat memajukan mempopulerkan mempertahankan warisan budaya kaya harapnya konferensi per hadir ketua harian dekrana tri tito karnavian sekjen dekrana direktur jender industri menengah aneka kementerian perindustrian reni yanita ketua bidang wirausaha dekrana endang budi karya ketua bidang manajemen usaha sri suparni bahlil,05-2024,3,1
indonesia amerika serikat jajaki mra pengakuan hasil uji perangkat telekomunikasi,Berita Kominfo,https://www.kominfo.go.id/content/detail/56346/indonesia-amerika-serikat-jajaki-mra-pengakuan-hasil-uji-perangkat-telekomunikasi/0/berita_satker,https://web.kominfo.go.id/sites/default/files/kominfo-konpers-hut-dekranas.jpeg,mth,arequipa kominfo pemerintah republik indonesia amerika serikat menjajaki mutual recognit agreement mra pengakuan laboratorium keberterimaan laporan hasil uji perangkat telekomunikasi direktur standardisasi direktorat jender sumber daya perangkat po informatika kementerian komunikasi informatika mulyadi rencana kebijakan tindak pengakuan indonesia nonmra balai uji negeri keperluan sertifikasi perangkat telekomunikasi indonesia balai uji negeri laboratorium berlokasi amerika serikat mayorita pemegang merek ternama amerika serikat pertemuan apec tel wg arequipa peru selasa direktur mulyadi delegasi amerika serikat menyambut inisiasi indonesia menindaklanjuti permintaan indonesia koordinasi intern fcc us trade repres ustr institusi berwenang koordinasi negosiasi terkait perdagangan memperlancar rencana implementasi mra sdppi berkoordinasi kementerian perdagangan mitra wicara ustr menjembatani rencana pelaksanaan mra direktur standardisasi delegasi sepakat menindaklanjuti hasil pertemuan pembahasan lanjutan pelaksanaan koordinasi intern masingmas negara delegasi sepakat masingmas kontak person pelaksanaan koordinasi lanjutan kerja kementerian kominfo berharap balai uji negeri ditetapkan melaksanakan pengujian perangkat telekomunikasi negeri pengakuan amerika serikat melaksanakan pengujian perangkat sesuai standar tekni fcc amerika serikat laboratorium pengujian negeri sejajar laboratorium pengujian internasion direktur mulyadi jangka kementerian kominfo optimisti membuka peluang pasar pengujian pabrikan perangkat indonesia kawasan region asean internasiona khususny menguji perangkat indonesia dipasarkan amerika serikat direktur standardisasi ditjen sdppi kementerian kominfo pertemuan direktur mulyadi didampingi nur akbar said umar wicaksono yoga sangkan prasetya delegasi amerika serikat dipimpin ramona saar nation institut of standard and technolog nist dana shaffer feder commun commiss fcc jai nair bureau of cyberspac and digit polici cdp georg tannahil fcc,05-2024,3,1
berita foto presiden joko widodo resmikan idth,Berita Kominfo,https://www.kominfo.go.id/content/detail/56343/berita-foto-presiden-joko-widodo-resmikan-idth/0/berita_satker,https://web.kominfo.go.id/sites/default/files/kominfo-mra-lab-uji-sdppi-kominfo-1.jpg,srii003,depok kominfo presiden joko widodo meresmikan pusat pengujian perangkat berstandar internasion indonesia digit test hous idth balai pengujian perangkat telekomunikasi bbppt kementerian komunikasi informatika kota depok provinsi jawa barat selasa idth salah pusat laboratorium pengujian perangkat telekomunikasi terbesar terlengkap asia tenggara idth dilengkapi fasilita terkini menguji fitur perangkat digit fitur telekomunikasi radio frekuensi rf electro magnet compat emc electr safeti specif absorpt rate sar idth transformasi balai pengujian perangkat telekomunikasi bbppt direktorat jender sumber daya perangkat po informatika sdppi kementerian kominfo foto anharkominfo,05-2024,3,1
lantik pejabat fungsion kepala bko jaga integrita profesionalita,Berita Kominfo,https://www.kominfo.go.id/content/detail/56167/lantik-18-pejabat-fungsional-kepala-bko-jaga-integritas-dan-profesionalitas/0/berita_satker,https://web.kominfo.go.id/sites/default/files/kominfo-presiden-jokowi-menteri-budi-arie-peresmian-IDTH-ANH-007.jpg,Erbi,jakarta pusat kominfo kementerian komunikasi informatika melantik mengangkat sumpah orang pejabat fungsion kepala biro kepegawaian organisasi sekretariat jender kementerian kominfo imam suwandi mendorong pejabat dilantik profesion menjaga integrita asn kominfo saudara menjaga profesionalita integrita moralita melaksanakan tuga patuhi peraturan ketentuan berlaku berpedoman core valu asn berakhlak pelantikan pengambilan sumpahjanji jabatan fungsion lingkungan kementerian kominfo jakarta pusat senin kepala bko setjen kementerian kominfo golongan jabatan fungsion pelantikan kali jabatan terkait pengelolaan keuangan jabatan terkait bidang hukum pejabat fungsion pengelolaan keuangan kepala bko imam suwandi tantangan dihadapi mengelola keuangan menitipkan pengelola keuangan profesion jaga integrita tegak luru aturan mudahmudahan kelancaran menjalankan tuga bidang jabatan fungsion bidang keuangan pejabat fungsion bidang hukum kepala bko setjen kementerian kominfo berpesan merancang peraturan profesion berintegrita sesuai diamanatkan peraturan penyusunan peraturan situ tantangan nitip untk profesion kepala bko imam suwandi menyebut momentum pelantikan bertambah tanggung tuga disertai denan peningkatan kesejahteraan kepegawaian jenjang karir menurutnya momentum meningkatkan pengabdian bangsa negara nama pimpinan kementerian kominfo ucapkan selamat semoga diangkatnya saudara pejabat fungsion menamba semangat membangun negeri bidang kerja saudarasaudari posisi semoga allah swt kemudahan kekuatan kelancaran upaya melaksanakan tuga pengabdian bangsa negara,04-2024,3,1
